lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
,12419,,,,,,,,179,0.8906911611557007
9.999999999999994e-05,12449,,,,,,,,,
9.999999999999994e-05,12449,,,,,,,,,
9.999999999999994e-05,12449,,,,,,,,,
,12449,0.1799565702676773,0.012846501544117928,0.09462635219097137,0.0706765204668045,0.001753370393998921,5.382633753470145e-05,15.0,180,
,12488,,,,,,,,180,0.8975983262062073
9.999999999999994e-05,12499,,,,,,,,,
9.999999999999994e-05,12499,,,,,,,,,
9.999999999999994e-05,12499,,,,,,,,,
,12499,0.25948208570480347,0.08255527913570404,0.09581893682479858,0.0791400745511055,0.0019107949919998646,5.6990826124092564e-05,15.0,181,
9.999999999999994e-05,12549,,,,,,,,,
9.999999999999994e-05,12549,,,,,,,,,
9.999999999999994e-05,12549,,,,,,,,,
,12549,0.20835590362548828,0.0614604726433754,0.07942706346511841,0.06508059799671173,0.0023337281309068203,5.4050680773798376e-05,15.0,181,
,12557,,,,,,,,181,0.9089114665985107
9.999999999999994e-05,12599,,,,,,,,,
9.999999999999994e-05,12599,,,,,,,,,
9.999999999999994e-05,12599,,,,,,,,,
,12599,0.25373709201812744,0.0758238136768341,0.09231466799974442,0.08368101716041565,0.0016809211811050773,0.00023668064386583865,15.0,182,
,12626,,,,,,,,182,0.8926419615745544
9.999999999999994e-05,12649,,,,,,,,,
9.999999999999994e-05,12649,,,,,,,,,
9.999999999999994e-05,12649,,,,,,,,,
,12649,0.24331815540790558,0.07811380177736282,0.09361689537763596,0.06907926499843597,0.002448573475703597,5.961803981335834e-05,15.0,183,
,12695,,,,,,,,183,0.9015195965766907
9.999999999999994e-05,12699,,,,,,,,,
9.999999999999994e-05,12699,,,,,,,,,
9.999999999999994e-05,12699,,,,,,,,,
,12699,0.24064387381076813,0.07719331979751587,0.08975344896316528,0.07150289416313171,0.002137106843292713,5.709579636459239e-05,15.0,184,
9.999999999999994e-05,12749,,,,,,,,,
9.999999999999994e-05,12749,,,,,,,,,
9.999999999999994e-05,12749,,,,,,,,,
,12749,0.23038727045059204,0.07330160588026047,0.08241267502307892,0.07274822890758514,0.0018709684954956174,5.378652713261545e-05,15.0,184,
,12764,,,,,,,,184,0.8961598873138428
9.999999999999994e-05,12799,,,,,,,,,
9.999999999999994e-05,12799,,,,,,,,,
9.999999999999994e-05,12799,,,,,,,,,
,12799,0.20792146027088165,0.0733204260468483,0.07411563396453857,0.058297090232372284,0.0020857038907706738,0.0001026135214488022,15.0,185,
,12833,,,,,,,,185,0.895707368850708
9.999999999999994e-05,12849,,,,,,,,,
9.999999999999994e-05,12849,,,,,,,,,
9.999999999999994e-05,12849,,,,,,,,,
,12849,0.24962083995342255,0.07784050703048706,0.09561838954687119,0.07420364022254944,0.0018920288421213627,6.626868707826361e-05,15.0,186,
9.999999999999994e-05,12899,,,,,,,,,
9.999999999999994e-05,12899,,,,,,,,,
9.999999999999994e-05,12899,,,,,,,,,
,12899,0.22560308873653412,0.06884625554084778,0.0787225067615509,0.0758102685213089,0.002168367151170969,5.569182030740194e-05,15.0,186,
,12902,,,,,,,,186,0.8918094635009766
9.999999999999994e-05,12949,,,,,,,,,
9.999999999999994e-05,12949,,,,,,,,,
9.999999999999994e-05,12949,,,,,,,,,
,12949,0.14877353608608246,0.004639211110770702,0.08528243750333786,0.05727282911539078,0.0015226646792143583,5.6400964240310714e-05,15.0,187,
,12971,,,,,,,,187,0.8983678817749023
9.999999999999994e-05,12999,,,,,,,,,
9.999999999999994e-05,12999,,,,,,,,,
9.999999999999994e-05,12999,,,,,,,,,
,12999,0.14620570838451385,0.06390596926212311,0.018574509769678116,0.06111258640885353,0.002557137282565236,5.5511034588562325e-05,15.0,188,
,13040,,,,,,,,188,0.8991397619247437
9.999999999999994e-05,13049,,,,,,,,,
9.999999999999994e-05,13049,,,,,,,,,
9.999999999999994e-05,13049,,,,,,,,,
,13049,0.20937705039978027,0.05820643901824951,0.09223262965679169,0.05704604089260101,0.0018238041084259748,6.814681546529755e-05,15.0,189,
9.999999999999994e-05,13099,,,,,,,,,
9.999999999999994e-05,13099,,,,,,,,,
9.999999999999994e-05,13099,,,,,,,,,
,13099,0.17616021633148193,0.008938964456319809,0.08594994992017746,0.07933428883552551,0.0018792058108374476,5.781411528005265e-05,15.0,189,
,13109,,,,,,,,189,0.8860378265380859
9.999999999999994e-05,13149,,,,,,,,,
9.999999999999994e-05,13149,,,,,,,,,
9.999999999999994e-05,13149,,,,,,,,,
,13149,0.18952427804470062,0.04936577379703522,0.08085935562849045,0.05749872699379921,0.0017417434137314558,5.8694702602224424e-05,15.0,190,
,13178,,,,,,,,190,0.8950163125991821
9.999999999999994e-05,13199,,,,,,,,,
9.999999999999994e-05,13199,,,,,,,,,
9.999999999999994e-05,13199,,,,,,,,,
,13199,0.21650367975234985,0.07246062904596329,0.08463345468044281,0.05710678547620773,0.0022252118214964867,7.759635627735406e-05,15.0,191,
,13247,,,,,,,,191,0.8989641666412354
9.999999999999994e-05,13249,,,,,,,,,
9.999999999999994e-05,13249,,,,,,,,,
9.999999999999994e-05,13249,,,,,,,,,
,13249,0.1580064445734024,0.0015011243522167206,0.07437586784362793,0.0799519419670105,0.0021227789111435413,5.4735162848373875e-05,15.0,192,
9.999999999999994e-05,13299,,,,,,,,,
9.999999999999994e-05,13299,,,,,,,,,
9.999999999999994e-05,13299,,,,,,,,,
,13299,0.15282391011714935,0.0014043019618839025,0.08554857969284058,0.06414935737848282,0.0016699620755389333,5.170956865185872e-05,15.0,192,
,13316,,,,,,,,192,0.8858684301376343
9.999999999999994e-05,13349,,,,,,,,,
9.999999999999994e-05,13349,,,,,,,,,
9.999999999999994e-05,13349,,,,,,,,,
,13349,0.20117460191249847,0.06383451074361801,0.07222940027713776,0.062308765947818756,0.002752195578068495,4.973599789082073e-05,15.0,193,
,13385,,,,,,,,193,0.8994266390800476
9.999999999999994e-05,13399,,,,,,,,,
9.999999999999994e-05,13399,,,,,,,,,
9.999999999999994e-05,13399,,,,,,,,,
,13399,0.2246609330177307,0.07047110795974731,0.08428868651390076,0.0671776756644249,0.0026607487816363573,6.269773439271376e-05,16.0,194,
9.999999999999994e-05,13449,,,,,,,,,
9.999999999999994e-05,13449,,,,,,,,,
9.999999999999994e-05,13449,,,,,,,,,
,13449,0.18920430541038513,0.05760187655687332,0.07652446627616882,0.053069114685058594,0.0019221442053094506,8.671123214298859e-05,16.0,194,
,13454,,,,,,,,194,0.9053211808204651
9.999999999999994e-05,13499,,,,,,,,,
9.999999999999994e-05,13499,,,,,,,,,
9.999999999999994e-05,13499,,,,,,,,,
,13499,0.14836889505386353,0.005444192327558994,0.07917560636997223,0.06141276657581329,0.0022289445623755455,0.00010738230776041746,16.0,195,
,13523,,,,,,,,195,0.9025028347969055
9.999999999999994e-05,13549,,,,,,,,,
9.999999999999994e-05,13549,,,,,,,,,
9.999999999999994e-05,13549,,,,,,,,,
,13549,0.13893359899520874,0.0016594836488366127,0.08097021281719208,0.05457424372434616,0.001670478261075914,5.9182591940043494e-05,16.0,196,
,13592,,,,,,,,196,0.885725736618042
9.999999999999994e-05,13599,,,,,,,,,
9.999999999999994e-05,13599,,,,,,,,,
9.999999999999994e-05,13599,,,,,,,,,
,13599,0.19187457859516144,0.05648311972618103,0.0821666494011879,0.05143677815794945,0.0017316204030066729,5.642263204208575e-05,16.0,197,
9.999999999999994e-05,13649,,,,,,,,,
9.999999999999994e-05,13649,,,,,,,,,
9.999999999999994e-05,13649,,,,,,,,,
,13649,0.22741466760635376,0.07141414284706116,0.08899478614330292,0.06513921171426773,0.0018182143103331327,4.8311336286133155e-05,16.0,197,
,13661,,,,,,,,197,0.8992820382118225
9.999999999999994e-05,13699,,,,,,,,,
9.999999999999994e-05,13699,,,,,,,,,
9.999999999999994e-05,13699,,,,,,,,,
,13699,0.23389171063899994,0.07728894799947739,0.07583734393119812,0.07872340083122253,0.001994730904698372,4.728729254566133e-05,16.0,198,
,13730,,,,,,,,198,0.8925442099571228
9.999999999999994e-05,13749,,,,,,,,,
9.999999999999994e-05,13749,,,,,,,,,
9.999999999999994e-05,13749,,,,,,,,,
,13749,0.10818612575531006,0.0013882180210202932,0.048385605216026306,0.056190237402915955,0.0021734239999204874,4.863901995122433e-05,16.0,199,
9.999999999999994e-05,13799,,,,,,,,,
9.999999999999994e-05,13799,,,,,,,,,
9.999999999999994e-05,13799,,,,,,,,,
,13799,0.17563055455684662,0.06591098755598068,0.0456780344247818,0.061862096190452576,0.0021320204250514507,4.740937947644852e-05,16.0,199,
,13799,,,,,,,,199,0.8938353061676025
