lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
,1862,,,,,,,26,0.8680770993232727
9.49505049999999e-05,1899,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,
,1899,5.55287504196167,3.8587236404418945,0.8939694166183472,0.6848636269569397,0.115318164229393,8.0,27,
,1931,,,,,,,27,0.9589161276817322
9.745025499999994e-05,1949,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,
,1949,155.6328125,153.58184814453125,1.2007704973220825,0.7093203067779541,0.1408681422472,8.0,28,
9.995000499999993e-05,1999,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,
,1999,938.9982299804688,81.9689712524414,444.5152587890625,219.71783447265625,192.796142578125,8.0,28,
,2000,,,,,,,28,112.32935333251953
9.999999999999994e-05,2049,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,
,2049,589.2747802734375,584.2978515625,1.679128646850586,1.9231593608856201,1.3746085166931152,8.0,29,
,2069,,,,,,,29,1.9256618022918701
9.999999999999994e-05,2099,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,
,2099,6593.31298828125,6351.2880859375,2.2214484214782715,115.64285278320312,124.16007232666016,8.0,30,
,2138,,,,,,,30,2.572688341140747
9.999999999999994e-05,2149,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,
,2149,148.4048309326172,143.54331970214844,2.9146857261657715,1.2011842727661133,0.7456364631652832,8.0,31,
9.999999999999994e-05,2199,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,
,2199,3209.925537109375,3127.93017578125,20.8794002532959,26.653636932373047,34.46236038208008,8.0,31,
,2207,,,,,,,31,7.549129009246826
9.999999999999994e-05,2249,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,
,2249,2262.689453125,2225.416748046875,7.820035934448242,13.058526992797852,16.393997192382812,8.0,32,
,2276,,,,,,,32,1.515567660331726
9.999999999999994e-05,2299,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,
,2299,701.9942626953125,694.0794677734375,2.8719582557678223,3.064842462539673,1.9780124425888062,8.0,33,
,2345,,,,,,,33,5.46575403213501
9.999999999999994e-05,2349,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,
,2349,10639.02734375,10527.1669921875,5.187360763549805,55.704742431640625,50.96805953979492,8.0,34,
9.999999999999994e-05,2399,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,
,2399,3017.437744140625,3011.312255859375,3.6373186111450195,1.5531489849090576,0.9350462555885315,8.0,34,
,2414,,,,,,,34,4.354572296142578
9.999999999999994e-05,2449,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,
,2449,21718.173828125,21713.8515625,1.6004619598388672,1.6089425086975098,1.1134995222091675,8.0,35,
,2483,,,,,,,35,1.2675318717956543
9.999999999999994e-05,2499,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,
,2499,194.13772583007812,190.09674072265625,1.597766399383545,1.3161472082138062,1.1270744800567627,8.0,36,
9.999999999999994e-05,2549,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,
,2549,1980.1474609375,1976.6378173828125,1.291530728340149,1.486694097518921,0.731415331363678,8.0,36,
,2552,,,,,,,36,1.2910147905349731
9.999999999999994e-05,2599,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,
,2599,11576.4375,11557.486328125,1.6906856298446655,9.178985595703125,8.081911087036133,8.0,37,
,2621,,,,,,,37,61.4195671081543
9.999999999999994e-05,2649,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,
,2649,17785.890625,17580.228515625,170.48304748535156,20.24906349182129,14.930583953857422,9.0,38,
,2690,,,,,,,38,204.93357849121094
9.999999999999994e-05,2699,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,
,2699,1036.5673828125,1029.9122314453125,3.812906503677368,1.7008579969406128,1.141493558883667,9.0,39,
9.999999999999994e-05,2749,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,
,2749,40673.3671875,38772.8125,433.5963439941406,789.68310546875,677.2738037109375,9.0,39,
,2759,,,,,,,39,525.086669921875
