lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,lambda_reg,epoch,val_loss
,3349,1.4994107568270297e+26,1.499401810156154e+26,5.617271909381088e+20,2.161805050834573e+20,1.2255925381721437e+20,9.0,1.0,48,
,3380,,,,,,,,48,5.659785186176024e+20
9.999999999999994e-05,3399,,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,,
,3399,3.3596674517350686e+24,3.358607916872335e+24,5.6927117771079156e+20,2.1852914988131706e+20,2.7181362961003944e+20,9.0,1.0,49,
9.999999999999994e-05,3449,,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,,
,3449,4.795674304987169e+25,4.795590833470235e+25,5.512374981654049e+20,2.16641015737542e+20,6.564171938948291e+19,9.0,1.0,49,
,3449,,,,,,,,49,5.660812921684739e+20
9.999999999999994e-05,3499,,,,,,,,,
9.999999999999994e-05,3499,,,,,,,,,
9.999999999999994e-05,3499,,,,,,,,,
,3499,4.7775111796035925e+25,4.777403727319363e+25,5.633661141743787e+20,2.1617932640699233e+20,2.9502085441174005e+20,9.0,1.0,50,
,3518,,,,,,,,50,5.6599347197574015e+20
9.999999999999994e-05,3549,,,,,,,,,
9.999999999999994e-05,3549,,,,,,,,,
9.999999999999994e-05,3549,,,,,,,,,
,3549,1.4991399586240276e+26,1.4991306430182704e+26,5.6468792066501195e+20,2.1730404763736998e+20,1.516876917821166e+20,9.0,1.0,51,
,3587,,,,,,,,51,5.659774630864397e+20
9.999999999999994e-05,3599,,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,,
,3599,9.928597035691698e+20,1.3588398014753407e+20,5.517463345545536e+20,2.164626661554237e+20,8.87667490999375e+19,9.0,1.0,52,
9.999999999999994e-05,3649,,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,,
,3649,3.3517102757406483e+24,3.3506812932977867e+24,5.6416142172107466e+20,2.1696998961657256e+20,2.477558929818355e+20,9.0,1.0,52,
,3656,,,,,,,,52,5.658719099701732e+20
9.999999999999994e-05,3699,,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,,
,3699,1.1607775415755856e+21,1.3617282625019734e+20,5.514318566368236e+20,2.1643156317049717e+20,2.5674129551806746e+20,9.0,1.0,53,
,3725,,,,,,,,53,5.658035467352046e+20
9.999999999999994e-05,3749,,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,,
,3749,3.34885275979148e+24,3.347769301807526e+24,5.528623828372113e+20,2.169173713881137e+20,3.136733566934251e+20,9.0,1.0,54,
,3794,,,,,,,,54,5.6590586288923895e+20
9.999999999999994e-05,3799,,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,,
,3799,1.1796065286676682e+21,4.622880366212101e+19,5.63957176441099e+20,2.1641719035449888e+20,3.530033977923679e+20,10.0,1.0,55,
9.999999999999994e-05,3849,,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,,
,3849,1.718549291160834e+25,1.7184447211803662e+25,5.545797672232393e+20,2.1852914988131706e+20,2.7181362961003944e+20,10.0,1.0,55,
,3863,,,,,,,,55,5.6591346271361014e+20
9.999999999999994e-05,3899,,,,,,,,,
9.999999999999994e-05,3899,,,,,,,,,
9.999999999999994e-05,3899,,,,,,,,,
,3899,7.840519073128543e+23,7.831276245541298e+23,5.516675215610746e+20,2.159661794808782e+20,1.5664823084980476e+20,10.0,1.0,56,
,3932,,,,,,,,56,5.660272489729454e+20
9.999999999999994e-05,3949,,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,,
