lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
,2342,,,,,,,,32,0.054815441370010376
9.999999999999994e-05,2349,,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,,
,2349,0.09679990261793137,0.01733868569135666,0.04976122826337814,0.015274937264621258,0.012819977477192879,0.0016050757840275764,9.0,33,
9.999999999999994e-05,2399,,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,,
,2399,0.13522428274154663,0.037946917116642,0.07082369923591614,0.012677807360887527,0.012142207473516464,0.0016336508560925722,9.0,33,
,2413,,,,,,,,33,0.05851971358060837
9.999999999999994e-05,2449,,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,,
,2449,0.11721508204936981,0.047224774956703186,0.03820689767599106,0.016849858686327934,0.013452021405100822,0.0014815253671258688,9.0,34,
,2484,,,,,,,,34,0.04671564698219299
9.999999999999994e-05,2499,,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,,
,2499,0.1381225287914276,0.03683730959892273,0.07863380014896393,0.011330902576446533,0.009958922863006592,0.0013615895295515656,9.0,35,
9.999999999999994e-05,2549,,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,,
,2549,0.11146676540374756,0.031142961233854294,0.055861156433820724,0.01275103073567152,0.010334189049899578,0.0013774324906989932,9.0,35,
,2555,,,,,,,,35,0.07738868147134781
9.999999999999994e-05,2599,,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,,
,2599,0.10213041305541992,0.02244413085281849,0.05757996439933777,0.011088984087109566,0.009978733956813812,0.0010386001085862517,9.0,36,
,2626,,,,,,,,36,0.05416841432452202
9.999999999999994e-05,2649,,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,,
,2649,0.15533947944641113,0.03545752167701721,0.09395866096019745,0.012910683639347553,0.011884498409926891,0.0011281170882284641,9.0,37,
,2697,,,,,,,,37,0.0380704440176487
9.999999999999994e-05,2699,,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,,
,2699,0.1312769204378128,0.04972059279680252,0.05240341275930405,0.013580302707850933,0.014541702345013618,0.00103090051561594,9.0,38,
9.999999999999994e-05,2749,,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,,
,2749,0.09642187505960464,0.025990240275859833,0.04953022301197052,0.010957342572510242,0.009076574817299843,0.0008674960699863732,9.0,38,
,2768,,,,,,,,38,0.056306902319192886
9.999999999999994e-05,2799,,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,,
,2799,0.11305372416973114,0.027162792161107063,0.06593862175941467,0.010561848990619183,0.008495468646287918,0.0008949954062700272,9.0,39,
,2839,,,,,,,,39,0.045561887323856354
9.999999999999994e-05,2849,,,,,,,,,
